,A,B,obj,S_value,A_glc_out,B_glc,A_xyl,B_xyl,A_c2e,T_A_value,T_B_value,B_e2c
1,1.0,99.0,0.031262279077758505,3.094965628698092,0.0,139.93221041390214,10.993943804120557,0.0,3.0949656286980916,3.0949656286980916,3.0949656286980916,0.031262279077758505
2,2.0,98.0,0.07527546587796846,7.37699565604091,0.0,143.22326127008665,21.730394992196025,0.0,3.6884978280204552,7.3769956560409105,7.37699565604091,0.07527546587796846
3,3.0,97.0,0.12019629281500736,11.659040403055714,0.0,146.51432807258112,32.466969077467354,0.0,3.886346801018571,11.659040403055714,11.659040403055714,0.12019629281500736
4,4.0,96.0,0.16605297031323335,15.941085150070402,0.0,149.80539487507656,43.20364941064403,0.0,3.9852712875176004,15.941085150070402,15.941085150070402,0.16605297031323335
5,5.0,95.0,0.2128750515482654,20.22312989708521,0.0,153.09646167757165,53.94023797239243,0.0,4.0446259794170425,20.22312989708521,20.22312989708521,0.2128750515482654
6,6.0,94.0,0.26069334727765847,24.505174644099895,0.0,156.3875284800667,65.96514002049183,0.0,4.084195774016649,24.505174644099895,24.505174644099895,0.26069334727765847
7,7.0,93.0,0.3095411013851428,28.78732242881828,0.0,159.67870690674113,75.41410617926547,0.0,4.112474632688325,28.787322428818275,28.78732242881828,0.3095411013851428
8,8.0,92.0,0.3594485232405348,33.0692641381292,0.0,162.96966208505694,86.1500036576368,0.0,4.13365801726615,33.0692641381292,33.0692641381292,0.3594485232405348
9,9.0,91.0,0.4104539437927898,37.35130888514387,0.0,166.26072888755223,98.81906244783296,0.0,4.1501454316826525,37.35130888514387,37.35130888514387,0.4104539437927898
10,10.0,90.0,0.4625928181351075,41.633353632159675,0.0,169.5517956900488,107.62318078114102,0.0,4.1633353632159675,41.633353632159675,41.633353632159675,0.4625928181351075
11,11.0,89.0,0.5159033525749883,45.91539837917396,0.0,173.35560001973627,118.36034285576613,0.0,4.174127125379451,45.91539837917396,45.915398379173965,0.5159033525749883
12,12.0,88.0,0.5704274972983179,50.197619762251975,0.0,184.05115574290917,129.0981682693198,0.0,4.183134980187664,50.197619762251975,50.197619762251975,0.5704274972983179
13,13.0,87.0,0.6262010100368061,54.479487873202125,0.0,195.8323553157974,139.8336242542566,0.0,4.1907298364001635,54.479487873202125,54.479487873202125,0.6262010100368061
14,14.0,86.0,0.6832760313444673,58.76173869562419,0.0,207.61418237325185,150.57164712027938,0.0,4.197267049687442,58.76173869562419,58.761738695624196,0.6832760313444673
15,15.0,85.0,0.7416891454968743,63.04357736723431,0.0,219.39533367810918,161.30690565282964,0.0,4.2029051578156205,63.04357736723431,63.04357736723431,0.7416891454968743
16,16.0,84.0,0.8014955013600925,67.32562211424776,0.0,231.17682285927538,172.04354635205118,0.0,4.207851382140485,67.32562211424776,67.32562211424778,0.8014955013600925
17,17.0,83.0,0.8627429742320861,71.60766686126316,0.0,245.22090969999167,186.42952226172892,0.0,4.212215697721362,71.60766686126316,71.60766686126314,0.8627429742320861
18,18.0,82.0,0.92548428790584,75.88971160827889,0.0,263.99214451003826,193.59004491885568,0.0,4.216095089348827,75.88971160827889,75.88971160827889,0.92548428790584
19,19.0,81.0,0.9752786905086184,78.99757393119809,0.0,277.5080261710128,200.0,0.0,4.157767049010426,78.99757393119809,78.99757393119809,0.9752786905086184
20,20.0,80.0,1.0020920316358568,80.16736253086854,0.0,283.40769509102233,200.0,0.0,4.008368126543427,80.16736253086854,80.16736253086854,1.0020920316358568
21,21.0,79.0,1.0046667498828634,79.3686732407462,0.0,279.00099580027245,200.0,0.0,3.779460630511724,79.3686732407462,79.3686732407462,1.0046667498828634
22,22.0,78.0,1.0073074865463922,78.56998395061859,0.0,274.59429650953757,200.0,0.0,3.5713629068462995,78.56998395061859,78.56998395061859,1.0073074865463922
23,23.0,77.0,1.010016813772737,77.77129466050074,0.0,270.18738154399847,200.0,0.0,3.3813606374130756,77.77129466050074,77.77129466050074,1.010016813772737
24,24.0,76.0,1.012797439083927,76.97260537037845,0.0,265.78089792810715,200.0,0.0,3.2071918904324352,76.97260537037845,76.97260537037845,1.012797439083927
25,25.0,75.0,1.0156522144033484,76.17391608025113,0.0,261.3741986373109,200.0,0.0,3.0469566432100454,76.17391608025113,76.17391608025113,1.0156522144033484
26,26.0,74.0,1.01858414581252,75.37522679012648,0.0,256.9674993465434,200.0,0.0,2.899047184235634,75.37522679012648,75.37522679012648,1.01858414581252
27,27.0,73.0,1.0215964041096086,74.57653750000142,0.0,252.56080005577073,200.0,0.0,2.762093981481534,74.57653750000142,74.57653750000144,1.0215964041096086
28,28.0,72.0,1.02469233624832,73.77784820987904,0.0,248.15410076503412,200.0,0.0,2.6349231503528228,73.77784820987904,73.77784820987904,1.02469233624832
29,29.0,71.0,1.0278754777430532,72.97915891975678,0.0,243.74740147429384,200.0,0.0,2.5165227213709236,72.97915891975678,72.97915891975677,1.0278754777430532
30,30.0,70.0,1.0311495661376073,72.18046962963251,0.0,239.34070218353483,200.0,0.0,2.4060156543210836,72.18046962963251,72.18046962963251,1.0311495661376073
31,31.0,69.0,1.034518555645085,71.38178033951087,0.0,234.93400289279376,200.0,0.0,2.3026380754680926,71.38178033951087,71.38178033951087,1.034518555645085
32,32.0,68.0,1.0379866330791747,70.58309104938388,0.0,230.52730360200528,200.0,0.0,2.2057215952932463,70.58309104938388,70.58309104938388,1.0379866330791747
33,33.0,67.0,1.0415582352129245,69.78440175926593,0.0,226.12060431131502,200.0,0.0,2.114678841189877,69.78440175926593,69.78440175926593,1.0415582352129245
34,34.0,66.0,1.045238067714286,68.98571246914288,0.0,221.71390502056627,200.0,0.0,2.028991543210085,68.98571246914288,68.98571246914288,1.045238067714286
35,35.0,65.0,1.049031125830987,68.18702317901416,0.0,217.30720572975522,200.0,0.0,1.9482006622575474,68.18702317901416,68.18702317901415,1.049031125830987
36,36.0,64.0,1.0529427170139374,67.38833388889199,0.0,212.9005064390215,200.0,0.0,1.8718981635803331,67.38833388889199,67.38833388889199,1.0529427170139374
37,37.0,63.0,1.0569784856947744,66.58964459877079,0.0,208.49380714829007,200.0,0.0,1.7997201242911025,66.58964459877079,66.58964459877079,1.0569784856947744
38,38.0,62.0,1.0611444404619839,65.79095530864299,0.0,204.08710785748715,200.0,0.0,1.7313409291748154,65.79095530864299,65.790955308643,1.0611444404619839
39,39.0,61.0,1.0654469839102525,64.9922660185254,0.0,199.68040856679596,200.0,0.0,1.6664683594493692,64.9922660185254,64.9922660185254,1.0654469839102525
40,40.0,60.0,1.0698929454732535,64.19357672839521,0.0,195.2737092759716,200.0,0.0,1.6048394182098804,64.19357672839521,64.19357672839521,1.0698929454732535
41,41.0,59.0,1.0744896175978904,63.39488743827553,0.0,190.8670099852646,200.0,0.0,1.5462167667872082,63.39488743827553,63.39488743827553,1.0744896175978904
42,42.0,58.0,1.0792447956578073,62.59619814815282,0.0,186.4603106945182,200.0,0.0,1.4903856701941147,62.59619814815282,62.59619814815282,1.0792447956578073
43,43.0,57.0,1.0841668220706175,61.797508858025196,0.0,182.0536114037184,200.0,0.0,1.4371513687912836,61.797508858025196,61.7975088580252,1.0841668220706175
44,44.0,56.0,1.0892646351411674,60.99881956790538,0.0,177.6469121130027,200.0,0.0,1.386336808361486,60.99881956790538,60.99881956790538,1.0892646351411674
45,45.0,55.0,1.0945478232324153,60.20013027778284,0.0,173.69559191174883,200.0,0.0,1.3377806728396187,60.20013027778284,60.20013027778285,1.0945478232324153
46,46.0,54.0,1.100026684956624,59.4014409876577,0.0,169.963292608978,200.0,0.0,1.2913356736447326,59.4014409876577,59.4014409876577,1.100026684956624
47,47.0,53.0,1.105712296179849,58.60275169753199,0.0,166.2309933062046,200.0,0.0,1.2468670573942977,58.60275169753199,58.60275169753199,1.105712296179849
48,48.0,52.0,1.1116165847578006,57.80406240740563,0.0,162.4986940034267,200.0,0.0,1.2042513001542838,57.80406240740563,57.804062407405624,1.1116165847578006
49,49.0,51.0,1.1177524140644621,57.00537311728757,0.0,158.76639470071532,200.0,0.0,1.1633749615772973,57.00537311728757,57.00537311728757,1.1177524140644621
50,50.0,50.0,1.124133676543317,56.20668382716585,0.0,155.03409539796885,200.0,0.0,1.124133676543317,56.20668382716585,56.20668382716585,1.124133676543317
51,51.0,49.0,1.1307753987151483,55.40799453704227,0.0,151.30179609521298,200.0,0.0,1.0864312654322015,55.40799453704228,55.40799453704227,1.1307753987151483
52,52.0,48.0,1.137509623611266,54.60046193334077,0.0,147.27419303867353,200.0,0.0,1.0500088833334764,54.60046193334077,54.600461933340775,1.137509623611266
53,53.0,47.0,1.1439722973093365,53.76669797353881,0.0,142.88026816609408,200.0,0.0,1.0144659995007324,53.76669797353881,53.76669797353882,1.1439722973093365
54,54.0,46.0,1.1507159568201888,52.93293401372868,0.0,138.4863432934351,200.0,0.0,0.9802395187727534,52.93293401372868,52.93293401372868,1.1507159568201888
55,55.0,45.0,1.1577593345316568,52.09917005392455,0.0,134.09241842083622,200.0,0.0,0.9472576373440827,52.09917005392455,52.09917005392455,1.1577593345316568
56,56.0,44.0,1.1651228657754893,51.26540609412153,0.0,129.69849354823808,200.0,0.0,0.9154536802521701,51.26540609412153,51.26540609412153,1.1651228657754893
57,57.0,43.0,1.1728288868447057,50.431642134322345,0.0,125.30456867569698,200.0,0.0,0.8847656514793394,50.431642134322345,50.431642134322345,1.1728288868447057
58,58.0,42.0,1.180901861297911,49.59787817451226,0.0,121.1653566809571,200.0,0.0,0.855135830595039,49.59787817451226,49.59787817451226,1.180901861297911
59,59.0,41.0,1.1893686393834613,48.764114214721914,0.0,117.5868961755668,200.0,0.0,0.8265104104190155,48.764114214721914,48.76411421472191,1.1893686393834613
60,60.0,40.0,1.1982587563729288,47.93035025491715,0.0,114.47809599927436,200.0,0.0,0.7988391709152859,47.93035025491715,47.93035025491715,1.1982587563729288
61,61.0,39.0,1.2076047767974163,47.096586295099236,0.0,111.36929582291738,200.0,0.0,0.7720751851655613,47.096586295099236,47.096586295099236,1.2076047767974163
62,62.0,38.0,1.2174426930340407,46.26282233529355,0.0,108.26049564661737,200.0,0.0,0.7461745537950573,46.26282233529355,46.26282233529355,1.2174426930340407
63,63.0,37.0,1.227812388526829,45.42905837549267,0.0,105.15169547034277,200.0,0.0,0.7210961646903599,45.42905837549267,45.42905837549267,1.227812388526829
64,64.0,36.0,1.238758178213693,44.59529441569295,0.0,102.04289529407363,200.0,0.0,0.6968014752452023,44.59529441569295,44.59529441569295,1.238758178213693
65,65.0,35.0,1.250329441596699,43.76153045588447,0.0,98.94328760415472,200.0,0.0,0.6732543147059149,43.76153045588447,43.76153045588447,1.250329441596699
66,66.0,34.0,1.2625813675318498,42.927766496082896,0.0,95.68449641943104,200.0,0.0,0.6504207044861045,42.927766496082896,42.927766496082896,1.2625813675318498
67,67.0,33.0,1.275575834432646,42.094002536277316,0.0,93.432101539128,200.0,0.0,0.6282686945713032,42.094002536277316,42.094002536277316,1.275575834432646
68,68.0,32.0,1.2893824555149584,41.26023857647867,0.0,91.1797066588328,200.0,0.0,0.6067682143599804,41.26023857647867,41.26023857647867,1.2893824555149584
69,69.0,31.0,1.3040798263440552,40.42647461666571,0.0,88.92731177852147,200.0,0.0,0.5858909364734161,40.42647461666571,40.426474616665715,1.3040798263440552
70,70.0,30.0,1.3197570218956012,39.592710656868036,0.0,86.6853594497735,200.0,0.0,0.5656101522409719,39.592710656868036,39.592710656868036,1.3197570218956012
71,71.0,29.0,1.3365154033467248,38.758946697055016,0.0,84.4329348091531,200.0,0.0,0.5459006577050003,38.758946697055016,38.75894669705502,1.3365154033467248
72,72.0,28.0,1.3544708120452906,37.92518273726814,0.0,82.18051016856104,200.0,0.0,0.5267386491287241,37.92518273726814,37.92518273726814,1.3544708120452906
73,73.0,27.0,1.3736246050897907,37.08786433742435,0.0,79.92420129450495,200.0,0.0,0.5080529361291006,37.08786433742435,37.08786433742435,1.3736246050897907
74,74.0,26.0,1.393675791419124,36.235570576897224,0.0,77.6515275933107,200.0,0.0,0.48966987266077333,36.235570576897224,36.235570576897224,1.393675791419124
75,75.0,25.0,1.4153310726545745,35.383276816364365,0.0,75.3786739169528,200.0,0.0,0.47177702421819157,35.383276816364365,35.38327681636436,1.4153310726545745
76,76.0,24.0,1.438790960659815,34.53098305583556,0.0,73.10580307126197,200.0,0.0,0.45435504020836265,34.53098305583556,34.53098305583556,1.438790960659815
77,77.0,23.0,1.464290838926825,33.67868929531697,0.0,70.83293222558272,200.0,0.0,0.4373855752638568,33.67868929531697,33.67868929531698,1.464290838926825
78,78.0,22.0,1.4921088879449798,32.826395534789555,0.0,68.56006137989333,200.0,0.0,0.42085122480499426,32.826395534789555,32.826395534789555,1.4921088879449798
79,79.0,21.0,1.5225762749647684,31.974101774260138,0.0,66.28719053420237,200.0,0.0,0.40473546549696376,31.974101774260138,31.974101774260138,1.5225762749647684
80,80.0,20.0,1.5560904006870457,31.121808013740914,0.0,64.01431968852198,200.0,0.0,0.38902260017176143,31.121808013740914,31.121808013740914,1.5560904006870457
81,81.0,19.0,1.593132329116482,30.26951425321316,0.0,61.74144884283273,200.0,0.0,0.3736977068297921,30.26951425321316,30.26951425321316,1.593132329116482
82,82.0,18.0,1.6342900273713756,29.417220492684763,0.0,59.468577997142305,200.0,0.0,0.35874659137420445,29.417220492684763,29.417220492684763,1.6342900273713756
83,83.0,17.0,1.6802898077735045,28.564926732149576,0.0,57.195707151444864,200.0,0.0,0.3441557437608383,28.564926732149576,28.564926732149576,1.6802898077735045
84,84.0,16.0,1.732039560727248,27.71263297163597,0.0,54.92283630577071,200.0,0.0,0.32991229728138055,27.71263297163597,27.71263297163597,1.732039560727248
85,85.0,15.0,1.790689280740175,26.860339211102627,0.0,52.884872131533044,200.0,0.0,0.31600399071885443,26.860339211102627,26.860339211102627,1.790689280740175
86,86.0,14.0,1.8577175321834585,26.008045450568417,0.0,50.596340841072774,200.0,0.0,0.3024191331461444,26.008045450568417,26.00804545056842,1.8577175321834585
87,87.0,13.0,1.935057822310482,25.155751690036265,0.0,48.307809550614685,200.0,0.0,0.2891465711498421,25.155751690036265,25.155751690036265,1.935057822310482
88,88.0,12.0,2.025288160793517,24.303457929522203,0.0,46.019066707814886,200.0,0.0,0.27617565829002505,24.303457929522203,24.303457929522203,2.025288160793517
89,89.0,11.0,2.131924015362951,23.451164168992463,0.0,43.7305530467227,200.0,0.0,0.26349622661789285,23.451164168992463,23.45116416899246,2.131924015362951
90,90.0,10.0,2.2598870408466643,22.59887040846664,0.0,41.44203938563501,200.0,0.0,0.25109856009407383,22.59887040846664,22.59887040846664,2.2598870408466643
91,91.0,9.0,2.4162862942149697,21.746576647934727,0.0,39.1535257245406,200.0,0.0,0.2389733697575245,21.746576647934727,21.746576647934727,2.4162862942149697
92,92.0,8.0,2.611785360926912,20.894282887415297,0.0,36.865012063459815,200.0,0.0,0.22711177051538367,20.894282887415297,20.894282887415297,2.611785360926912
93,93.0,7.0,2.8631413038416187,20.04198912689133,0.0,34.57649840237404,200.0,0.0,0.21550525942893906,20.04198912689133,20.04198912689133,2.8631413038416187
94,94.0,6.0,3.198282561058541,19.189695366351245,0.0,32.28798474127074,200.0,0.0,0.20414569538671537,19.189695366351245,19.189695366351245,3.198282561058541
95,95.0,5.0,3.667480321165393,18.337401605826965,0.0,29.999471080184716,200.0,0.0,0.19302528006133648,18.337401605826965,18.33740160582696,3.667480321165393
96,96.0,4.0,4.371276961328982,17.485107845315927,0.0,27.71095741911308,200.0,0.0,0.18213654005537422,17.485107845315927,17.485107845315927,4.371276961328982
97,97.0,3.0,5.544271361596822,16.632814084790468,0.0,25.423266554402154,200.0,0.0,0.17147231015247905,16.632814084790468,16.632814084790468,5.544271361596822
98,98.0,2.0,7.890260162138043,15.780520324276086,0.0,23.138410375030332,200.0,0.0,0.16102571759465392,15.780520324276086,15.780520324276086,7.890260162138043
99,99.0,1.0,11.443331400362105,11.443331400362105,0.0,22.009828504046897,193.080801680946,0.0,0.11558920606426369,11.443331400362105,11.443331400362105,11.443331400362105
